RA,Dec,Rplanet,P,S/SEarth,K,Rstar,Teff,Vmag,Imag,Jmag,Kmag,Dist,Dil,log10,SNR,Mult.
41.12,-71.28,3.482,3.842,60.24,4.756,0.6001,4216,13.53,12.04,11.12,10.33,5.45,1,-4.3,19.15,2
41.26,-1.671,1.301,8.963,2.599,2.117,0.2546,3353,14.13,11.79,10.49,9.726,2.25,1.001,-4.029,8.837,1
41.93,-45.76,2.178,9.681,35.21,1.944,0.7176,4764,11.95,10.88,10.11,9.487,5.2,1.058,-4.423,7.346,1
41.99,-39.89,3.11,12.93,106.6,2.076,1.089,5861,9.7,9.033,8.554,8.215,5.1,1.002,-4.412,13.31,1
42.08,-26.5,3.269,5.76,4.225,7.734,0.2393,3318,15.53,13.14,11.8,11.04,3.4,1,-3.772,25.04,2
42.11,-29.19,2.781,6.932,13.92,3.618,0.4931,3799,12.79,10.94,9.868,9.057,3.45,1,-4.3,12.11,1
42.2,-52.59,1.721,10.9,3.059,2.702,0.3246,3454,12.35,10.15,8.91,8.146,1.3,1,-4.578,31.75,1
42.25,-36.14,1.979,1.654,1.15e+04,1.901,1.399,9162,8.211,8.202,8.129,8.137,6.05,1.002,-4.536,9.324,1
42.25,28.51,19.1,10.27,300.2,10.65,1.503,6180,8.519,7.939,7.527,7.251,4.9,1.001,-4.231,318.9,0
42.28,-45.11,2.865,18.63,1.027,4.196,0.2652,3354,16.01,13.67,12.35,11.58,4.2,1.088,-4.029,15.01,3
42.3,-53.66,2.671,10.67,167.8,1.738,1.174,6081,9.799,9.183,8.75,8.457,5.55,1,-4.163,9.114,1
42.72,45.78,2.732,1.701,21.31,9.859,0.2381,3318,15.39,13,11.66,10.9,3.25,4.133,-4.559,24.56,2
43.31,-29.17,6.758,9.235,186.2,4.56,1.099,6067,9.66,9.048,8.609,8.306,5.25,1,-4.858,84.77,2
43.82,72.12,2.797,1.951,27.98,7.726,0.315,3414,15.61,13.34,12.06,11.29,4.35,1.767,-4.464,16.98,2
43.83,26.75,3.045,13.96,3.414,3.499,0.4118,3589,14.38,12.31,11.13,10.34,4.15,1.06,-3.979,12.88,2
43.98,26.9,2.004,1.981,72.3,4.085,0.4915,3776,13.3,11.43,10.34,9.53,3.9,1,-3.468,10.93,2
44.55,-54.48,8.012,38.88,29.92,3.138,1.174,6081,9.799,9.183,8.75,8.457,5.55,1.011,-3.694,25.9,1
45.17,-71.67,1.823,2.12,19.27,5.71,0.2686,3357,15.61,13.27,11.96,11.19,3.85,1,-4.293,14.46,3
45.86,-11.06,1.625,3.548,12.89,3.643,0.3193,3451,14.16,11.95,10.7,9.929,3.05,1.016,-4.114,9.825,3
46.52,10.2,9.256,6.528,26.21,10.1,0.5778,4144,12.74,11.2,10.25,9.454,4.45,1.013,-4.089,162.3,0
46.66,-61.4,2.733,12.63,22.93,2.192,0.7214,4667,12.69,11.55,10.75,10.1,5.8,1.001,-4.828,9.652,0
46.76,27.05,1.376,0.9006,128.8,3.946,0.4065,3570,14.2,12.11,10.93,10.14,3.9,1.003,-3.616,7.855,4
46.76,-26.17,1.64,6.635,136.1,1.499,0.8884,5458,9.525,8.734,8.168,7.746,4.1,1,-4.595,7.801,2
47.33,6.537,2.282,15.58,0.6634,5.326,0.1685,3223,16.41,13.87,12.46,11.69,3.2,1.077,-4.433,9.713,1
47.36,49.99,1.898,7.627,4.009,3.515,0.2926,3410,14.16,11.9,10.63,9.861,2.75,1.124,-3.677,15.2,2
47.9,-9.823,2.639,10.98,119.4,1.796,1.038,5916,8.298,7.646,7.182,6.856,3.65,1.024,-4.134,10.37,1
47.9,-56.39,1.867,10.02,40.98,1.654,0.7216,5000,11.7,10.75,10.06,9.512,5.3,1.001,-4.712,8.326,2
48.16,-67.75,2.195,3.82,1441,2.055,1.404,6745,8.244,7.802,7.469,7.263,4.85,1.024,-4.237,12.71,2
48.24,-58.51,2.431,17.79,19.05,1.745,0.7216,5000,11.7,10.75,10.06,9.512,5.3,1.001,-4.091,12.54,2
48.27,76.16,3.549,24,13.54,2.164,0.7673,4966,11.81,10.84,10.14,9.585,5.5,1.007,-3.898,12.99,0
48.29,-67.77,3.739,6.642,90.19,3.333,0.821,5082,11.02,10.08,9.414,8.905,5,1.011,-4.809,43.35,2
48.44,-68.31,4.753,10.3,1345,2.3,2.458,7464,7.58,7.313,7.087,6.981,5.9,1,-4.493,15.99,2
49.09,-49.32,1.751,2.554,114.4,2.82,0.6086,4312,12.97,11.56,10.67,9.899,5.1,1.315,-4.293,8.587,1
49.93,2.508,2.267,0.5657,31.9,20.23,0.1435,2871,17.2,14.66,12.82,12.03,2.8,1,-4.477,18.15,0
50.29,10.81,1.935,0.8234,66.23,8.231,0.2649,3363,14.83,12.5,11.19,10.43,3.05,1.071,-4.457,26.34,4
50.38,-35.41,2.073,6.976,5.606,3.627,0.3332,3442,15.22,12.98,11.72,10.94,4.15,1,-3.864,8.302,2
50.55,-73.52,3.984,15.67,463.4,1.873,2.26,6699,6.955,6.513,6.181,5.98,4.6,1,-4.29,13.91,0
50.6,-12.96,3.335,17.64,2.077,3.699,0.3754,3546,13.98,11.86,10.66,9.882,3.45,1.084,-3.369,13.04,1
50.91,-47.29,2.945,11.55,2.633,4.368,0.3185,3424,15.67,13.41,12.13,11.36,4.45,1,-4.029,15.27,2
51.24,44.55,1.874,5.023,99.55,2.11,0.7064,5000,10.04,9.095,8.409,7.859,3.6,1.034,-4.091,12.08,3
51.32,-42.55,1.753,2,66.23,3.648,0.4782,3744,13.54,11.63,10.53,9.719,4,1.011,-4.471,11.42,3
51.33,-67.62,3.152,37.8,0.2321,4.975,0.1857,3232,17.27,14.75,13.34,12.57,4.3,2.284,-3.273,11.11,2
51.45,-13.16,3.873,4.197,7.376,9.245,0.2618,3352,15.64,13.29,11.98,11.21,3.8,1,-4.584,38.73,3
51.52,9.226,2.066,2.559,947.6,2.308,1.133,5861,9.952,9.274,8.804,8.477,5.45,1,-4.705,9.896,2
52.17,-85.44,2.132,6.097,48.18,2.412,0.6502,4547,12.84,11.58,10.77,10.07,5.5,1.176,-3.899,10.24,0
52.25,-32.1,5.047,12.6,892.3,2.214,2.23,7621,7.894,7.653,7.45,7.362,6.1,1,-4.231,12.85,0
52.28,-50.63,2.058,1.757,56.98,4.817,0.4219,3595,14.63,12.55,11.37,10.58,4.45,1,-4.174,7.618,2
52.33,-45.37,2.837,6.976,61.26,2.871,0.6968,4935,9.931,8.909,8.228,7.646,3.35,1.001,-4.788,35.82,2
52.41,27.67,2.829,13.77,16.41,2.463,0.654,4511,12.2,10.94,10.12,9.407,4.85,1.001,-4.567,11.78,0
